,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
269,40,blue-collar,married,primary,no,0,yes,no,unknown,5,may,463,1,-1,0,unknown,no
270,42,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,2,-1,0,unknown,yes
271,40,blue-collar,divorced,primary,no,0,yes,no,unknown,5,may,962,1,-1,0,unknown,no
284,30,blue-collar,single,secondary,no,0,yes,no,unknown,5,may,5,2,-1,0,unknown,no
293,54,management,married,tertiary,no,0,no,no,unknown,5,may,120,2,-1,0,unknown,no
296,31,blue-collar,single,secondary,no,3,yes,no,unknown,5,may,200,2,-1,0,unknown,no
309,43,management,married,unknown,no,0,yes,no,unknown,5,may,105,2,-1,0,unknown,no
317,51,technician,single,secondary,no,0,yes,no,unknown,5,may,364,2,-1,0,unknown,no
318,40,retired,single,primary,no,0,no,no,unknown,5,may,136,2,-1,0,unknown,no
320,51,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,173,2,-1,0,unknown,no
330,48,blue-collar,married,secondary,no,1,no,no,unknown,5,may,669,3,-1,0,unknown,no
338,51,admin,single,secondary,yes,-2,no,no,unknown,5,may,402,3,-1,0,unknown,no
353,36,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,195,2,-1,0,unknown,no
367,43,management,divorced,tertiary,no,1,yes,no,unknown,6,may,306,1,-1,0,unknown,no
378,33,management,married,tertiary,no,0,yes,no,unknown,6,may,290,1,-1,0,unknown,no
393,27,admin,married,secondary,no,4,yes,no,unknown,6,may,243,1,-1,0,unknown,no
395,32,technician,single,secondary,no,0,yes,yes,unknown,6,may,135,3,-1,0,unknown,no
397,38,admin,married,secondary,no,1,no,no,unknown,6,may,76,1,-1,0,unknown,no
405,50,management,married,tertiary,no,0,no,no,unknown,6,may,326,1,-1,0,unknown,no
406,58,retired,married,tertiary,no,0,no,no,unknown,6,may,393,1,-1,0,unknown,no
417,43,unemployed,married,secondary,no,0,yes,no,unknown,6,may,245,1,-1,0,unknown,no
423,40,blue-collar,married,secondary,no,0,yes,no,unknown,6,may,225,1,-1,0,unknown,no
432,39,blue-collar,married,secondary,no,0,yes,no,unknown,6,may,262,1,-1,0,unknown,no
443,24,self-employed,single,secondary,no,0,yes,no,unknown,6,may,278,1,-1,0,unknown,no
452,46,management,divorced,unknown,no,2,yes,no,unknown,6,may,187,1,-1,0,unknown,no
457,37,technician,married,secondary,no,1,yes,no,unknown,6,may,608,1,-1,0,unknown,yes
461,39,blue-collar,married,primary,no,0,yes,no,unknown,6,may,262,2,-1,0,unknown,no
483,43,blue-collar,married,secondary,no,0,no,no,unknown,6,may,187,1,-1,0,unknown,no
485,54,management,divorced,primary,no,0,no,no,unknown,6,may,472,1,-1,0,unknown,no
490,32,technician,married,secondary,no,0,yes,no,unknown,6,may,176,2,-1,0,unknown,no
491,29,blue-collar,married,secondary,no,1,yes,no,unknown,6,may,215,1,-1,0,unknown,no
492,36,blue-collar,married,secondary,no,0,yes,no,unknown,6,may,337,1,-1,0,unknown,no
495,39,admin,single,secondary,no,0,yes,no,unknown,6,may,174,2,-1,0,unknown,no
513,41,blue-collar,married,primary,no,0,yes,yes,unknown,6,may,238,1,-1,0,unknown,no
523,29,management,single,tertiary,no,0,yes,no,unknown,6,may,211,1,-1,0,unknown,no
543,34,admin,single,secondary,no,0,yes,no,unknown,6,may,150,1,-1,0,unknown,no
564,59,services,divorced,secondary,no,0,yes,yes,unknown,6,may,97,1,-1,0,unknown,no
568,34,blue-collar,married,secondary,no,0,no,no,unknown,6,may,195,1,-1,0,unknown,no
573,52,technician,married,unknown,no,0,no,no,unknown,6,may,195,1,-1,0,unknown,no
584,37,technician,married,primary,no,0,yes,no,unknown,6,may,76,4,-1,0,unknown,no
585,35,blue-collar,married,primary,no,0,yes,no,unknown,6,may,154,2,-1,0,unknown,no
588,30,technician,single,secondary,no,0,yes,no,unknown,6,may,369,1,-1,0,unknown,no
596,54,services,married,secondary,yes,0,yes,no,unknown,6,may,138,3,-1,0,unknown,no
599,31,self-employed,married,secondary,no,0,yes,no,unknown,6,may,36,5,-1,0,unknown,no
603,56,blue-collar,married,primary,no,5,yes,yes,unknown,6,may,407,2,-1,0,unknown,no
638,44,services,divorced,secondary,no,1,yes,no,unknown,6,may,235,4,-1,0,unknown,no
643,42,technician,single,secondary,no,0,yes,no,unknown,6,may,293,1,-1,0,unknown,no
644,43,unemployed,married,secondary,no,0,yes,no,unknown,6,may,37,2,-1,0,unknown,no
652,44,self-employed,divorced,tertiary,no,4,yes,no,unknown,6,may,312,3,-1,0,unknown,no
656,41,services,married,unknown,no,4,no,no,unknown,6,may,284,2,-1,0,unknown,no
671,31,blue-collar,single,secondary,no,0,yes,no,unknown,6,may,273,2,-1,0,unknown,no
672,49,self-employed,married,secondary,no,1,yes,no,unknown,6,may,260,3,-1,0,unknown,no
679,41,admin,married,secondary,no,0,yes,no,unknown,6,may,160,3,-1,0,unknown,no
684,42,management,married,tertiary,no,0,yes,no,unknown,6,may,65,3,-1,0,unknown,no
689,40,blue-collar,married,primary,yes,0,yes,no,unknown,6,may,64,2,-1,0,unknown,no
696,40,admin,married,secondary,no,6,yes,no,unknown,6,may,60,3,-1,0,unknown,no
703,43,services,divorced,secondary,no,0,yes,no,unknown,6,may,125,2,-1,0,unknown,no
710,31,admin,married,secondary,no,0,yes,yes,unknown,6,may,144,2,-1,0,unknown,no
711,40,blue-collar,divorced,secondary,no,0,yes,no,unknown,6,may,121,2,-1,0,unknown,no
713,56,retired,divorced,primary,no,4,yes,no,unknown,6,may,31,3,-1,0,unknown,no
737,55,technician,married,secondary,no,0,no,no,unknown,6,may,160,3,-1,0,unknown,no
755,38,housemaid,married,secondary,no,0,yes,no,unknown,6,may,59,3,-1,0,unknown,no
770,42,services,married,secondary,no,0,yes,no,unknown,7,may,132,3,-1,0,unknown,no
772,42,technician,single,secondary,no,0,yes,no,unknown,7,may,275,4,-1,0,unknown,no
787,46,management,married,tertiary,no,0,no,no,unknown,7,may,70,2,-1,0,unknown,no
799,56,retired,married,secondary,no,0,yes,no,unknown,7,may,333,4,-1,0,unknown,no
804,35,admin,married,secondary,no,0,no,no,unknown,7,may,326,1,-1,0,unknown,no
805,35,blue-collar,married,primary,yes,0,yes,no,unknown,7,may,292,1,-1,0,unknown,no
813,29,technician,single,tertiary,no,0,yes,no,unknown,7,may,104,2,-1,0,unknown,no
814,57,services,married,secondary,no,1,no,no,unknown,7,may,852,1,-1,0,unknown,no
817,31,management,divorced,tertiary,no,0,yes,no,unknown,7,may,953,3,-1,0,unknown,no
819,30,technician,single,tertiary,no,3,yes,no,unknown,7,may,174,1,-1,0,unknown,no
839,36,admin,divorced,secondary,no,0,yes,no,unknown,7,may,133,2,-1,0,unknown,no
846,37,management,married,tertiary,no,0,yes,no,unknown,7,may,228,1,-1,0,unknown,no
851,29,technician,single,tertiary,no,3,yes,no,unknown,7,may,359,1,-1,0,unknown,no
872,32,blue-collar,married,secondary,no,0,yes,no,unknown,7,may,298,1,-1,0,unknown,no
902,32,services,married,secondary,no,0,yes,yes,unknown,7,may,255,2,-1,0,unknown,no
918,38,blue-collar,married,unknown,no,5,yes,no,unknown,7,may,221,2,-1,0,unknown,no
931,33,blue-collar,married,secondary,no,0,no,no,unknown,7,may,107,1,-1,0,unknown,no
939,26,services,married,secondary,no,0,yes,no,unknown,7,may,180,2,-1,0,unknown,no
971,33,technician,married,secondary,no,0,yes,no,unknown,7,may,432,1,-1,0,unknown,no
988,38,technician,married,secondary,no,0,no,no,unknown,7,may,55,1,-1,0,unknown,no
992,38,blue-collar,single,secondary,no,-1,yes,no,unknown,7,may,72,1,-1,0,unknown,no
1000,47,admin,married,unknown,no,0,yes,no,unknown,7,may,164,1,-1,0,unknown,no
1043,40,blue-collar,married,secondary,no,4,yes,yes,unknown,7,may,263,1,-1,0,unknown,no
1044,42,admin,divorced,secondary,no,0,yes,no,unknown,7,may,229,2,-1,0,unknown,no
1070,42,management,married,secondary,no,0,no,no,unknown,7,may,234,4,-1,0,unknown,no
1077,27,blue-collar,single,secondary,no,0,yes,no,unknown,7,may,191,4,-1,0,unknown,no
1080,37,self-employed,married,primary,no,0,no,no,unknown,7,may,112,4,-1,0,unknown,no
1119,39,technician,single,unknown,no,0,yes,no,unknown,7,may,130,1,-1,0,unknown,no
1131,48,admin,married,secondary,no,5,yes,no,unknown,7,may,697,2,-1,0,unknown,no
1134,44,blue-collar,married,secondary,no,1,yes,no,unknown,7,may,281,2,-1,0,unknown,no
1135,28,management,married,tertiary,no,3,yes,no,unknown,7,may,122,5,-1,0,unknown,no
1158,59,retired,married,unknown,no,0,no,no,unknown,8,may,425,6,-1,0,unknown,no
1167,30,admin,divorced,secondary,no,1,yes,no,unknown,8,may,175,5,-1,0,unknown,no
1168,34,management,married,primary,no,6,yes,no,unknown,8,may,125,3,-1,0,unknown,no
1198,28,housemaid,divorced,primary,no,1,yes,no,unknown,8,may,923,1,-1,0,unknown,no
1217,32,blue-collar,single,secondary,no,5,yes,yes,unknown,8,may,134,1,-1,0,unknown,no
1232,42,technician,married,secondary,no,0,yes,no,unknown,8,may,66,2,-1,0,unknown,no
1240,34,blue-collar,single,primary,no,0,yes,no,unknown,8,may,323,1,-1,0,unknown,no
1252,43,blue-collar,married,secondary,no,0,yes,no,unknown,8,may,187,1,-1,0,unknown,no
1253,34,management,married,tertiary,no,0,yes,no,unknown,8,may,214,2,-1,0,unknown,no
1260,60,retired,married,primary,no,-2,yes,no,unknown,8,may,75,1,-1,0,unknown,no
1268,40,blue-collar,single,secondary,no,1,yes,no,unknown,8,may,190,1,-1,0,unknown,no
1270,48,blue-collar,married,primary,no,4,yes,no,unknown,8,may,198,1,-1,0,unknown,no
1296,30,blue-collar,married,primary,no,3,yes,no,unknown,8,may,147,1,-1,0,unknown,no
1318,36,blue-collar,married,secondary,no,0,no,no,unknown,8,may,338,2,-1,0,unknown,no
1326,30,technician,married,secondary,no,-1,yes,no,unknown,8,may,323,1,-1,0,unknown,no
1335,52,management,single,tertiary,yes,0,no,no,unknown,8,may,98,1,-1,0,unknown,no
1337,35,blue-collar,divorced,secondary,no,0,yes,no,unknown,8,may,477,1,-1,0,unknown,no
1346,28,services,married,secondary,no,6,yes,no,unknown,8,may,667,1,-1,0,unknown,no
1349,58,blue-collar,married,primary,no,5,no,no,unknown,8,may,177,2,-1,0,unknown,no
1355,33,entrepreneur,married,secondary,no,0,yes,yes,unknown,8,may,982,1,-1,0,unknown,no
1366,51,blue-collar,married,primary,no,0,no,no,unknown,8,may,384,1,-1,0,unknown,no
1380,32,management,single,tertiary,no,3,yes,no,unknown,8,may,161,1,-1,0,unknown,no
1402,25,blue-collar,single,secondary,no,0,yes,no,unknown,8,may,30,2,-1,0,unknown,no
1403,42,management,married,tertiary,no,6,yes,no,unknown,8,may,103,4,-1,0,unknown,no
1404,30,blue-collar,married,primary,no,4,yes,no,unknown,8,may,32,2,-1,0,unknown,no
1410,29,services,single,secondary,no,2,no,no,unknown,8,may,190,1,-1,0,unknown,no
1417,32,blue-collar,married,secondary,no,1,yes,no,unknown,8,may,102,1,-1,0,unknown,no
1427,60,technician,married,unknown,no,0,yes,no,unknown,8,may,77,1,-1,0,unknown,no
1463,42,retired,married,primary,no,0,yes,no,unknown,8,may,186,2,-1,0,unknown,no
1477,33,technician,married,unknown,no,0,no,no,unknown,8,may,345,2,-1,0,unknown,no
1485,42,technician,married,secondary,no,0,no,yes,unknown,8,may,7,3,-1,0,unknown,no
1491,28,blue-collar,married,secondary,no,0,yes,no,unknown,8,may,459,2,-1,0,unknown,no
1510,38,management,single,tertiary,no,0,yes,no,unknown,8,may,92,3,-1,0,unknown,no
1511,27,student,single,secondary,no,0,no,no,unknown,8,may,93,2,-1,0,unknown,no
1525,46,blue-collar,married,primary,no,0,yes,yes,unknown,8,may,390,3,-1,0,unknown,no
1533,50,technician,single,tertiary,no,0,yes,no,unknown,8,may,393,2,-1,0,unknown,no
1540,32,management,divorced,tertiary,no,1,yes,no,unknown,8,may,399,4,-1,0,unknown,no
1555,43,management,divorced,tertiary,no,0,yes,no,unknown,8,may,123,2,-1,0,unknown,no
1596,38,blue-collar,married,primary,no,0,yes,no,unknown,8,may,732,2,-1,0,unknown,no
1643,29,blue-collar,married,secondary,no,0,no,no,unknown,9,may,215,1,-1,0,unknown,no
1656,37,management,married,tertiary,no,0,yes,no,unknown,9,may,59,1,-1,0,unknown,no
1663,31,housemaid,married,secondary,no,0,yes,no,unknown,9,may,327,2,-1,0,unknown,no
1665,30,admin,single,unknown,yes,1,no,no,unknown,9,may,307,1,-1,0,unknown,no
1666,33,technician,married,secondary,no,0,no,no,unknown,9,may,120,1,-1,0,unknown,no
1674,43,blue-collar,single,secondary,no,3,yes,no,unknown,9,may,929,3,-1,0,unknown,yes
1675,28,blue-collar,married,secondary,no,6,yes,no,unknown,9,may,254,1,-1,0,unknown,no
1726,29,admin,married,secondary,no,0,yes,no,unknown,9,may,121,1,-1,0,unknown,no
1739,30,blue-collar,married,secondary,no,-2,yes,no,unknown,9,may,136,2,-1,0,unknown,no
1741,29,admin,divorced,secondary,no,0,no,no,unknown,9,may,393,1,-1,0,unknown,no
1745,22,admin,single,secondary,no,-1,yes,no,unknown,9,may,136,1,-1,0,unknown,no
1754,27,services,single,secondary,no,4,yes,yes,unknown,9,may,490,1,-1,0,unknown,no
1767,32,blue-collar,married,secondary,yes,-1,yes,no,unknown,9,may,653,1,-1,0,unknown,yes
1769,36,blue-collar,divorced,unknown,no,0,yes,no,unknown,9,may,377,1,-1,0,unknown,no
1787,32,management,married,tertiary,no,0,no,no,unknown,9,may,280,1,-1,0,unknown,no
1836,21,student,single,secondary,no,6,no,no,unknown,9,may,622,1,-1,0,unknown,no
1837,31,blue-collar,married,secondary,no,0,yes,no,unknown,9,may,133,1,-1,0,unknown,no
1846,30,services,married,secondary,no,0,yes,no,unknown,9,may,20,1,-1,0,unknown,no
1884,32,blue-collar,single,secondary,no,2,no,no,unknown,9,may,144,2,-1,0,unknown,no
1891,43,management,married,secondary,no,3,yes,no,unknown,9,may,204,2,-1,0,unknown,no
1919,31,services,married,secondary,no,0,no,yes,unknown,9,may,81,6,-1,0,unknown,no
1920,42,blue-collar,married,primary,no,0,yes,no,unknown,9,may,214,2,-1,0,unknown,no
1928,32,management,single,tertiary,no,4,yes,no,unknown,9,may,179,2,-1,0,unknown,no
1930,31,management,single,tertiary,no,0,yes,no,unknown,9,may,94,3,-1,0,unknown,no
1973,53,management,divorced,tertiary,no,0,no,no,unknown,9,may,44,2,-1,0,unknown,no
1996,43,blue-collar,single,primary,no,0,no,no,unknown,9,may,71,3,-1,0,unknown,no
1999,28,admin,married,secondary,no,2,yes,no,unknown,9,may,167,1,-1,0,unknown,no
2027,33,technician,married,secondary,no,0,yes,yes,unknown,9,may,173,2,-1,0,unknown,no
2041,57,management,divorced,secondary,no,0,yes,yes,unknown,12,may,144,6,-1,0,unknown,no
2050,49,management,divorced,tertiary,yes,0,yes,no,unknown,12,may,345,2,-1,0,unknown,no
2056,34,blue-collar,married,secondary,no,0,yes,no,unknown,12,may,111,2,-1,0,unknown,no
2072,31,blue-collar,married,primary,no,0,yes,yes,unknown,12,may,59,4,-1,0,unknown,no
2076,37,management,married,tertiary,no,0,yes,no,unknown,12,may,346,4,-1,0,unknown,no
2093,33,blue-collar,married,primary,no,2,yes,yes,unknown,12,may,409,2,-1,0,unknown,no
2103,29,technician,married,secondary,no,0,no,no,unknown,12,may,33,2,-1,0,unknown,no
2129,27,admin,single,secondary,no,1,yes,no,unknown,12,may,86,1,-1,0,unknown,no
2168,32,admin,single,secondary,no,5,yes,no,unknown,12,may,593,2,-1,0,unknown,no
2177,43,blue-collar,married,primary,no,0,yes,no,unknown,12,may,3,1,-1,0,unknown,no
2208,23,admin,single,secondary,no,5,no,no,unknown,12,may,413,1,-1,0,unknown,no
2236,45,management,single,tertiary,no,0,no,no,unknown,12,may,55,2,-1,0,unknown,no
2254,55,blue-collar,married,primary,no,0,yes,yes,unknown,12,may,467,5,-1,0,unknown,no
2291,57,blue-collar,married,primary,yes,0,yes,no,unknown,12,may,73,3,-1,0,unknown,no
2347,33,management,divorced,secondary,no,5,yes,no,unknown,13,may,1346,1,-1,0,unknown,yes
2365,32,unemployed,married,secondary,yes,2,yes,no,unknown,13,may,178,2,-1,0,unknown,no
2372,29,blue-collar,married,primary,no,0,yes,no,unknown,13,may,53,1,-1,0,unknown,no
2388,54,retired,divorced,tertiary,no,0,no,no,unknown,13,may,618,1,-1,0,unknown,yes
2400,23,admin,single,secondary,no,5,yes,no,unknown,13,may,93,1,-1,0,unknown,no
2434,57,technician,married,secondary,no,0,no,no,unknown,13,may,44,1,-1,0,unknown,no
2444,45,management,married,tertiary,no,0,yes,yes,unknown,13,may,147,1,-1,0,unknown,no
2453,44,management,married,tertiary,no,0,no,no,unknown,13,may,27,1,-1,0,unknown,no
2474,23,entrepreneur,single,primary,no,4,yes,no,unknown,13,may,395,2,-1,0,unknown,yes
2488,54,retired,married,primary,no,0,yes,no,unknown,13,may,106,1,-1,0,unknown,no
2489,44,technician,married,tertiary,no,0,yes,yes,unknown,13,may,127,2,-1,0,unknown,no
2513,45,entrepreneur,divorced,tertiary,no,0,yes,no,unknown,13,may,170,1,-1,0,unknown,no
2524,42,self-employed,married,tertiary,no,5,yes,no,unknown,13,may,853,1,-1,0,unknown,no
2534,27,blue-collar,married,secondary,no,0,yes,no,unknown,13,may,296,1,-1,0,unknown,no
2536,34,technician,single,tertiary,no,2,yes,no,unknown,13,may,60,2,-1,0,unknown,no
2537,44,admin,single,unknown,no,3,yes,no,unknown,13,may,443,1,-1,0,unknown,no
2566,41,management,married,tertiary,no,0,yes,no,unknown,13,may,161,1,-1,0,unknown,no
2573,46,blue-collar,married,primary,no,0,yes,no,unknown,13,may,204,3,-1,0,unknown,no
2588,57,management,divorced,unknown,no,0,no,no,unknown,13,may,95,1,-1,0,unknown,no
2623,44,services,divorced,secondary,no,0,yes,yes,unknown,13,may,97,1,-1,0,unknown,no
2637,60,retired,married,tertiary,no,0,yes,no,unknown,13,may,34,4,-1,0,unknown,no
2652,52,entrepreneur,married,unknown,no,0,yes,no,unknown,13,may,165,2,-1,0,unknown,no
2653,55,management,married,secondary,no,0,yes,no,unknown,13,may,309,2,-1,0,unknown,no
2666,31,technician,married,tertiary,no,0,yes,yes,unknown,13,may,164,2,-1,0,unknown,no
2695,38,blue-collar,married,primary,no,0,no,no,unknown,13,may,209,2,-1,0,unknown,no
2733,57,technician,divorced,secondary,no,0,yes,no,unknown,14,may,360,2,-1,0,unknown,no
2753,52,technician,married,secondary,no,0,no,no,unknown,14,may,97,2,-1,0,unknown,no
2754,27,blue-collar,single,secondary,yes,-2,yes,yes,unknown,14,may,123,5,-1,0,unknown,no
2761,52,technician,married,secondary,no,0,yes,yes,unknown,14,may,77,2,-1,0,unknown,no
2762,44,entrepreneur,married,secondary,no,0,no,no,unknown,14,may,211,2,-1,0,unknown,no
2768,44,blue-collar,married,secondary,no,0,yes,no,unknown,14,may,101,2,-1,0,unknown,no
2788,46,blue-collar,married,primary,no,0,yes,no,unknown,14,may,73,1,-1,0,unknown,no
2790,43,technician,divorced,secondary,no,0,no,no,unknown,14,may,333,1,-1,0,unknown,no
2794,45,technician,married,secondary,no,0,yes,yes,unknown,14,may,246,2,-1,0,unknown,no
2807,44,services,single,secondary,no,0,yes,no,unknown,14,may,179,1,-1,0,unknown,no
2825,57,management,married,tertiary,no,0,yes,no,unknown,14,may,124,1,-1,0,unknown,no
2843,42,management,married,tertiary,no,1,no,no,unknown,14,may,253,1,-1,0,unknown,no
2854,31,management,married,tertiary,no,0,no,no,unknown,14,may,298,1,-1,0,unknown,no
2871,44,services,single,secondary,no,0,yes,no,unknown,14,may,198,1,-1,0,unknown,no
2883,47,blue-collar,married,primary,no,2,yes,yes,unknown,14,may,164,1,-1,0,unknown,no
2890,50,management,married,secondary,no,0,yes,no,unknown,14,may,94,4,-1,0,unknown,no
2911,42,blue-collar,married,secondary,no,3,yes,no,unknown,14,may,34,1,-1,0,unknown,no
2925,42,technician,married,secondary,no,0,yes,no,unknown,14,may,833,1,-1,0,unknown,no
2936,49,blue-collar,married,primary,no,0,yes,no,unknown,14,may,151,2,-1,0,unknown,no
2959,50,management,married,secondary,no,0,yes,no,unknown,14,may,214,1,-1,0,unknown,no
2982,57,technician,married,tertiary,no,-1,no,no,unknown,14,may,850,2,-1,0,unknown,yes
3116,31,admin,married,secondary,no,0,yes,no,unknown,14,may,40,2,-1,0,unknown,no
3120,36,blue-collar,married,secondary,no,0,no,no,unknown,14,may,636,6,-1,0,unknown,no
3130,49,blue-collar,married,primary,no,0,no,no,unknown,14,may,370,2,-1,0,unknown,no
3147,46,self-employed,married,secondary,no,0,yes,yes,unknown,14,may,166,5,-1,0,unknown,no
3159,43,technician,single,secondary,no,0,yes,no,unknown,14,may,37,3,-1,0,unknown,no
3161,43,services,married,secondary,no,0,yes,no,unknown,14,may,260,3,-1,0,unknown,no
3166,55,management,married,tertiary,no,0,yes,no,unknown,14,may,159,2,-1,0,unknown,no
3180,32,management,single,tertiary,no,0,yes,no,unknown,15,may,86,4,-1,0,unknown,no
3205,27,services,married,secondary,no,0,yes,no,unknown,15,may,312,6,-1,0,unknown,no
3208,51,retired,married,secondary,no,0,no,no,unknown,15,may,70,1,-1,0,unknown,no
3222,48,services,divorced,secondary,no,0,yes,yes,unknown,15,may,263,1,-1,0,unknown,no
3231,58,services,married,secondary,no,0,yes,no,unknown,15,may,183,5,-1,0,unknown,no
3295,40,entrepreneur,married,secondary,no,0,yes,yes,unknown,15,may,435,1,-1,0,unknown,no
3301,21,services,married,secondary,no,0,yes,yes,unknown,15,may,168,5,-1,0,unknown,no
3303,30,blue-collar,married,secondary,no,2,yes,no,unknown,15,may,1000,1,-1,0,unknown,no
3342,60,retired,married,secondary,no,0,yes,no,unknown,15,may,229,1,-1,0,unknown,no
3368,28,student,single,secondary,no,0,yes,no,unknown,15,may,133,3,-1,0,unknown,no
3372,35,management,married,tertiary,no,6,yes,yes,unknown,15,may,136,1,-1,0,unknown,no
3374,25,management,single,tertiary,no,6,yes,yes,unknown,15,may,225,1,-1,0,unknown,no
3380,47,blue-collar,married,primary,no,0,yes,no,unknown,15,may,30,1,-1,0,unknown,no
3382,33,blue-collar,married,primary,no,0,yes,no,unknown,15,may,270,1,-1,0,unknown,no
3384,57,admin,married,unknown,no,0,yes,no,unknown,15,may,215,2,-1,0,unknown,no
3423,45,management,single,tertiary,no,0,yes,no,unknown,15,may,197,4,-1,0,unknown,no
3433,35,technician,divorced,tertiary,no,0,yes,no,unknown,15,may,759,1,-1,0,unknown,no
3456,38,admin,married,secondary,no,0,yes,no,unknown,15,may,225,1,-1,0,unknown,no
3458,34,technician,married,secondary,no,4,yes,no,unknown,15,may,644,1,-1,0,unknown,no
3473,32,management,single,secondary,no,6,yes,no,unknown,15,may,228,1,-1,0,unknown,no
3493,26,technician,single,secondary,no,2,yes,yes,unknown,15,may,461,1,-1,0,unknown,no
3504,48,technician,married,secondary,no,0,yes,yes,unknown,15,may,964,2,-1,0,unknown,no
3506,56,housemaid,divorced,secondary,no,0,no,no,unknown,15,may,103,1,-1,0,unknown,no
3522,44,blue-collar,married,primary,no,0,yes,no,unknown,15,may,226,6,-1,0,unknown,no
3552,25,blue-collar,single,secondary,no,0,yes,no,unknown,15,may,244,2,-1,0,unknown,no
3600,37,services,married,secondary,no,1,no,no,unknown,15,may,395,2,-1,0,unknown,no
3657,55,technician,married,secondary,no,0,yes,no,unknown,16,may,248,3,-1,0,unknown,no
3661,31,admin,single,secondary,no,0,yes,no,unknown,16,may,28,4,-1,0,unknown,no
3670,32,admin,married,secondary,no,0,no,no,unknown,16,may,137,1,-1,0,unknown,no
3674,58,retired,divorced,primary,no,6,no,no,unknown,16,may,228,1,-1,0,unknown,no
3678,40,admin,married,secondary,no,2,yes,no,unknown,16,may,29,1,-1,0,unknown,no
3690,32,management,married,tertiary,no,0,yes,no,unknown,16,may,387,1,-1,0,unknown,no
3698,33,services,single,secondary,no,0,yes,no,unknown,16,may,212,1,-1,0,unknown,no
