,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
317,51,technician,single,1,no,0,yes,no,unknown,5,5,364,2,-1,0,unknown,0
318,40,retired,single,0,no,0,no,no,unknown,5,5,136,2,-1,0,unknown,0
320,51,blue-collar,married,1,no,0,yes,no,unknown,5,5,173,2,-1,0,unknown,0
330,48,blue-collar,married,1,no,1,no,no,unknown,5,5,669,3,-1,0,unknown,0
338,51,admin,single,1,yes,-2,no,no,unknown,5,5,402,3,-1,0,unknown,0
353,36,blue-collar,married,1,no,0,yes,no,unknown,5,5,195,2,-1,0,unknown,0
367,43,management,divorced,2,no,1,yes,no,unknown,6,5,306,1,-1,0,unknown,0
378,33,management,married,2,no,0,yes,no,unknown,6,5,290,1,-1,0,unknown,0
393,27,admin,married,1,no,4,yes,no,unknown,6,5,243,1,-1,0,unknown,0
395,32,technician,single,1,no,0,yes,yes,unknown,6,5,135,3,-1,0,unknown,0
397,38,admin,married,1,no,1,no,no,unknown,6,5,76,1,-1,0,unknown,0
405,50,management,married,2,no,0,no,no,unknown,6,5,326,1,-1,0,unknown,0
406,58,retired,married,2,no,0,no,no,unknown,6,5,393,1,-1,0,unknown,0
417,43,unemployed,married,1,no,0,yes,no,unknown,6,5,245,1,-1,0,unknown,0
423,40,blue-collar,married,1,no,0,yes,no,unknown,6,5,225,1,-1,0,unknown,0
432,39,blue-collar,married,1,no,0,yes,no,unknown,6,5,262,1,-1,0,unknown,0
443,24,self-employed,single,1,no,0,yes,no,unknown,6,5,278,1,-1,0,unknown,0
452,46,management,divorced,3,no,2,yes,no,unknown,6,5,187,1,-1,0,unknown,0
457,37,technician,married,1,no,1,yes,no,unknown,6,5,608,1,-1,0,unknown,1
461,39,blue-collar,married,0,no,0,yes,no,unknown,6,5,262,2,-1,0,unknown,0
483,43,blue-collar,married,1,no,0,no,no,unknown,6,5,187,1,-1,0,unknown,0
485,54,management,divorced,0,no,0,no,no,unknown,6,5,472,1,-1,0,unknown,0
490,32,technician,married,1,no,0,yes,no,unknown,6,5,176,2,-1,0,unknown,0
491,29,blue-collar,married,1,no,1,yes,no,unknown,6,5,215,1,-1,0,unknown,0
492,36,blue-collar,married,1,no,0,yes,no,unknown,6,5,337,1,-1,0,unknown,0
495,39,admin,single,1,no,0,yes,no,unknown,6,5,174,2,-1,0,unknown,0
513,41,blue-collar,married,0,no,0,yes,yes,unknown,6,5,238,1,-1,0,unknown,0
523,29,management,single,2,no,0,yes,no,unknown,6,5,211,1,-1,0,unknown,0
543,34,admin,single,1,no,0,yes,no,unknown,6,5,150,1,-1,0,unknown,0
564,59,services,divorced,1,no,0,yes,yes,unknown,6,5,97,1,-1,0,unknown,0
568,34,blue-collar,married,1,no,0,no,no,unknown,6,5,195,1,-1,0,unknown,0
573,52,technician,married,3,no,0,no,no,unknown,6,5,195,1,-1,0,unknown,0
584,37,technician,married,0,no,0,yes,no,unknown,6,5,76,4,-1,0,unknown,0
585,35,blue-collar,married,0,no,0,yes,no,unknown,6,5,154,2,-1,0,unknown,0
588,30,technician,single,1,no,0,yes,no,unknown,6,5,369,1,-1,0,unknown,0
596,54,services,married,1,yes,0,yes,no,unknown,6,5,138,3,-1,0,unknown,0
599,31,self-employed,married,1,no,0,yes,no,unknown,6,5,36,5,-1,0,unknown,0
603,56,blue-collar,married,0,no,5,yes,yes,unknown,6,5,407,2,-1,0,unknown,0
638,44,services,divorced,1,no,1,yes,no,unknown,6,5,235,4,-1,0,unknown,0
643,42,technician,single,1,no,0,yes,no,unknown,6,5,293,1,-1,0,unknown,0
644,43,unemployed,married,1,no,0,yes,no,unknown,6,5,37,2,-1,0,unknown,0
652,44,self-employed,divorced,2,no,4,yes,no,unknown,6,5,312,3,-1,0,unknown,0
656,41,services,married,3,no,4,no,no,unknown,6,5,284,2,-1,0,unknown,0
671,31,blue-collar,single,1,no,0,yes,no,unknown,6,5,273,2,-1,0,unknown,0
672,49,self-employed,married,1,no,1,yes,no,unknown,6,5,260,3,-1,0,unknown,0
679,41,admin,married,1,no,0,yes,no,unknown,6,5,160,3,-1,0,unknown,0
684,42,management,married,2,no,0,yes,no,unknown,6,5,65,3,-1,0,unknown,0
689,40,blue-collar,married,0,yes,0,yes,no,unknown,6,5,64,2,-1,0,unknown,0
696,40,admin,married,1,no,6,yes,no,unknown,6,5,60,3,-1,0,unknown,0
703,43,services,divorced,1,no,0,yes,no,unknown,6,5,125,2,-1,0,unknown,0
710,31,admin,married,1,no,0,yes,yes,unknown,6,5,144,2,-1,0,unknown,0
711,40,blue-collar,divorced,1,no,0,yes,no,unknown,6,5,121,2,-1,0,unknown,0
713,56,retired,divorced,0,no,4,yes,no,unknown,6,5,31,3,-1,0,unknown,0
737,55,technician,married,1,no,0,no,no,unknown,6,5,160,3,-1,0,unknown,0
755,38,housemaid,married,1,no,0,yes,no,unknown,6,5,59,3,-1,0,unknown,0
770,42,services,married,1,no,0,yes,no,unknown,7,5,132,3,-1,0,unknown,0
772,42,technician,single,1,no,0,yes,no,unknown,7,5,275,4,-1,0,unknown,0
787,46,management,married,2,no,0,no,no,unknown,7,5,70,2,-1,0,unknown,0
799,56,retired,married,1,no,0,yes,no,unknown,7,5,333,4,-1,0,unknown,0
804,35,admin,married,1,no,0,no,no,unknown,7,5,326,1,-1,0,unknown,0
805,35,blue-collar,married,0,yes,0,yes,no,unknown,7,5,292,1,-1,0,unknown,0
813,29,technician,single,2,no,0,yes,no,unknown,7,5,104,2,-1,0,unknown,0
814,57,services,married,1,no,1,no,no,unknown,7,5,852,1,-1,0,unknown,0
817,31,management,divorced,2,no,0,yes,no,unknown,7,5,953,3,-1,0,unknown,0
819,30,technician,single,2,no,3,yes,no,unknown,7,5,174,1,-1,0,unknown,0
839,36,admin,divorced,1,no,0,yes,no,unknown,7,5,133,2,-1,0,unknown,0
846,37,management,married,2,no,0,yes,no,unknown,7,5,228,1,-1,0,unknown,0
851,29,technician,single,2,no,3,yes,no,unknown,7,5,359,1,-1,0,unknown,0
872,32,blue-collar,married,1,no,0,yes,no,unknown,7,5,298,1,-1,0,unknown,0
902,32,services,married,1,no,0,yes,yes,unknown,7,5,255,2,-1,0,unknown,0
918,38,blue-collar,married,3,no,5,yes,no,unknown,7,5,221,2,-1,0,unknown,0
931,33,blue-collar,married,1,no,0,no,no,unknown,7,5,107,1,-1,0,unknown,0
939,26,services,married,1,no,0,yes,no,unknown,7,5,180,2,-1,0,unknown,0
971,33,technician,married,1,no,0,yes,no,unknown,7,5,432,1,-1,0,unknown,0
988,38,technician,married,1,no,0,no,no,unknown,7,5,55,1,-1,0,unknown,0
992,38,blue-collar,single,1,no,-1,yes,no,unknown,7,5,72,1,-1,0,unknown,0
1000,47,admin,married,3,no,0,yes,no,unknown,7,5,164,1,-1,0,unknown,0
1043,40,blue-collar,married,1,no,4,yes,yes,unknown,7,5,263,1,-1,0,unknown,0
1044,42,admin,divorced,1,no,0,yes,no,unknown,7,5,229,2,-1,0,unknown,0
1070,42,management,married,1,no,0,no,no,unknown,7,5,234,4,-1,0,unknown,0
1077,27,blue-collar,single,1,no,0,yes,no,unknown,7,5,191,4,-1,0,unknown,0
1080,37,self-employed,married,0,no,0,no,no,unknown,7,5,112,4,-1,0,unknown,0
1119,39,technician,single,3,no,0,yes,no,unknown,7,5,130,1,-1,0,unknown,0
1131,48,admin,married,1,no,5,yes,no,unknown,7,5,697,2,-1,0,unknown,0
1134,44,blue-collar,married,1,no,1,yes,no,unknown,7,5,281,2,-1,0,unknown,0
1135,28,management,married,2,no,3,yes,no,unknown,7,5,122,5,-1,0,unknown,0
1158,59,retired,married,3,no,0,no,no,unknown,8,5,425,6,-1,0,unknown,0
1167,30,admin,divorced,1,no,1,yes,no,unknown,8,5,175,5,-1,0,unknown,0
1168,34,management,married,0,no,6,yes,no,unknown,8,5,125,3,-1,0,unknown,0
1198,28,housemaid,divorced,0,no,1,yes,no,unknown,8,5,923,1,-1,0,unknown,0
1217,32,blue-collar,single,1,no,5,yes,yes,unknown,8,5,134,1,-1,0,unknown,0
1232,42,technician,married,1,no,0,yes,no,unknown,8,5,66,2,-1,0,unknown,0
1240,34,blue-collar,single,0,no,0,yes,no,unknown,8,5,323,1,-1,0,unknown,0
1252,43,blue-collar,married,1,no,0,yes,no,unknown,8,5,187,1,-1,0,unknown,0
1253,34,management,married,2,no,0,yes,no,unknown,8,5,214,2,-1,0,unknown,0
1260,60,retired,married,0,no,-2,yes,no,unknown,8,5,75,1,-1,0,unknown,0
1268,40,blue-collar,single,1,no,1,yes,no,unknown,8,5,190,1,-1,0,unknown,0
1270,48,blue-collar,married,0,no,4,yes,no,unknown,8,5,198,1,-1,0,unknown,0
1296,30,blue-collar,married,0,no,3,yes,no,unknown,8,5,147,1,-1,0,unknown,0
1318,36,blue-collar,married,1,no,0,no,no,unknown,8,5,338,2,-1,0,unknown,0
1326,30,technician,married,1,no,-1,yes,no,unknown,8,5,323,1,-1,0,unknown,0
1335,52,management,single,2,yes,0,no,no,unknown,8,5,98,1,-1,0,unknown,0
1337,35,blue-collar,divorced,1,no,0,yes,no,unknown,8,5,477,1,-1,0,unknown,0
1346,28,services,married,1,no,6,yes,no,unknown,8,5,667,1,-1,0,unknown,0
1349,58,blue-collar,married,0,no,5,no,no,unknown,8,5,177,2,-1,0,unknown,0
1355,33,entrepreneur,married,1,no,0,yes,yes,unknown,8,5,982,1,-1,0,unknown,0
1366,51,blue-collar,married,0,no,0,no,no,unknown,8,5,384,1,-1,0,unknown,0
1380,32,management,single,2,no,3,yes,no,unknown,8,5,161,1,-1,0,unknown,0
1402,25,blue-collar,single,1,no,0,yes,no,unknown,8,5,30,2,-1,0,unknown,0
1403,42,management,married,2,no,6,yes,no,unknown,8,5,103,4,-1,0,unknown,0
1404,30,blue-collar,married,0,no,4,yes,no,unknown,8,5,32,2,-1,0,unknown,0
1410,29,services,single,1,no,2,no,no,unknown,8,5,190,1,-1,0,unknown,0
1417,32,blue-collar,married,1,no,1,yes,no,unknown,8,5,102,1,-1,0,unknown,0
1427,60,technician,married,3,no,0,yes,no,unknown,8,5,77,1,-1,0,unknown,0
1463,42,retired,married,0,no,0,yes,no,unknown,8,5,186,2,-1,0,unknown,0
1477,33,technician,married,3,no,0,no,no,unknown,8,5,345,2,-1,0,unknown,0
1485,42,technician,married,1,no,0,no,yes,unknown,8,5,7,3,-1,0,unknown,0
1491,28,blue-collar,married,1,no,0,yes,no,unknown,8,5,459,2,-1,0,unknown,0
1510,38,management,single,2,no,0,yes,no,unknown,8,5,92,3,-1,0,unknown,0
1511,27,student,single,1,no,0,no,no,unknown,8,5,93,2,-1,0,unknown,0
1525,46,blue-collar,married,0,no,0,yes,yes,unknown,8,5,390,3,-1,0,unknown,0
1533,50,technician,single,2,no,0,yes,no,unknown,8,5,393,2,-1,0,unknown,0
1540,32,management,divorced,2,no,1,yes,no,unknown,8,5,399,4,-1,0,unknown,0
1555,43,management,divorced,2,no,0,yes,no,unknown,8,5,123,2,-1,0,unknown,0
1596,38,blue-collar,married,0,no,0,yes,no,unknown,8,5,732,2,-1,0,unknown,0
1643,29,blue-collar,married,1,no,0,no,no,unknown,9,5,215,1,-1,0,unknown,0
1656,37,management,married,2,no,0,yes,no,unknown,9,5,59,1,-1,0,unknown,0
1663,31,housemaid,married,1,no,0,yes,no,unknown,9,5,327,2,-1,0,unknown,0
1665,30,admin,single,3,yes,1,no,no,unknown,9,5,307,1,-1,0,unknown,0
1666,33,technician,married,1,no,0,no,no,unknown,9,5,120,1,-1,0,unknown,0
1674,43,blue-collar,single,1,no,3,yes,no,unknown,9,5,929,3,-1,0,unknown,1
1675,28,blue-collar,married,1,no,6,yes,no,unknown,9,5,254,1,-1,0,unknown,0
1726,29,admin,married,1,no,0,yes,no,unknown,9,5,121,1,-1,0,unknown,0
1739,30,blue-collar,married,1,no,-2,yes,no,unknown,9,5,136,2,-1,0,unknown,0
1741,29,admin,divorced,1,no,0,no,no,unknown,9,5,393,1,-1,0,unknown,0
1745,22,admin,single,1,no,-1,yes,no,unknown,9,5,136,1,-1,0,unknown,0
1754,27,services,single,1,no,4,yes,yes,unknown,9,5,490,1,-1,0,unknown,0
1767,32,blue-collar,married,1,yes,-1,yes,no,unknown,9,5,653,1,-1,0,unknown,1
1769,36,blue-collar,divorced,3,no,0,yes,no,unknown,9,5,377,1,-1,0,unknown,0
1787,32,management,married,2,no,0,no,no,unknown,9,5,280,1,-1,0,unknown,0
1836,21,student,single,1,no,6,no,no,unknown,9,5,622,1,-1,0,unknown,0
1837,31,blue-collar,married,1,no,0,yes,no,unknown,9,5,133,1,-1,0,unknown,0
1846,30,services,married,1,no,0,yes,no,unknown,9,5,20,1,-1,0,unknown,0
1884,32,blue-collar,single,1,no,2,no,no,unknown,9,5,144,2,-1,0,unknown,0
1891,43,management,married,1,no,3,yes,no,unknown,9,5,204,2,-1,0,unknown,0
1919,31,services,married,1,no,0,no,yes,unknown,9,5,81,6,-1,0,unknown,0
1920,42,blue-collar,married,0,no,0,yes,no,unknown,9,5,214,2,-1,0,unknown,0
1928,32,management,single,2,no,4,yes,no,unknown,9,5,179,2,-1,0,unknown,0
1930,31,management,single,2,no,0,yes,no,unknown,9,5,94,3,-1,0,unknown,0
1973,53,management,divorced,2,no,0,no,no,unknown,9,5,44,2,-1,0,unknown,0
1996,43,blue-collar,single,0,no,0,no,no,unknown,9,5,71,3,-1,0,unknown,0
1999,28,admin,married,1,no,2,yes,no,unknown,9,5,167,1,-1,0,unknown,0
2027,33,technician,married,1,no,0,yes,yes,unknown,9,5,173,2,-1,0,unknown,0
2041,57,management,divorced,1,no,0,yes,yes,unknown,12,5,144,6,-1,0,unknown,0
2050,49,management,divorced,2,yes,0,yes,no,unknown,12,5,345,2,-1,0,unknown,0
2056,34,blue-collar,married,1,no,0,yes,no,unknown,12,5,111,2,-1,0,unknown,0
2072,31,blue-collar,married,0,no,0,yes,yes,unknown,12,5,59,4,-1,0,unknown,0
2076,37,management,married,2,no,0,yes,no,unknown,12,5,346,4,-1,0,unknown,0
2093,33,blue-collar,married,0,no,2,yes,yes,unknown,12,5,409,2,-1,0,unknown,0
2103,29,technician,married,1,no,0,no,no,unknown,12,5,33,2,-1,0,unknown,0
2129,27,admin,single,1,no,1,yes,no,unknown,12,5,86,1,-1,0,unknown,0
2168,32,admin,single,1,no,5,yes,no,unknown,12,5,593,2,-1,0,unknown,0
2177,43,blue-collar,married,0,no,0,yes,no,unknown,12,5,3,1,-1,0,unknown,0
2208,23,admin,single,1,no,5,no,no,unknown,12,5,413,1,-1,0,unknown,0
2236,45,management,single,2,no,0,no,no,unknown,12,5,55,2,-1,0,unknown,0
2254,55,blue-collar,married,0,no,0,yes,yes,unknown,12,5,467,5,-1,0,unknown,0
2291,57,blue-collar,married,0,yes,0,yes,no,unknown,12,5,73,3,-1,0,unknown,0
2347,33,management,divorced,1,no,5,yes,no,unknown,13,5,1346,1,-1,0,unknown,1
2365,32,unemployed,married,1,yes,2,yes,no,unknown,13,5,178,2,-1,0,unknown,0
2372,29,blue-collar,married,0,no,0,yes,no,unknown,13,5,53,1,-1,0,unknown,0
2388,54,retired,divorced,2,no,0,no,no,unknown,13,5,618,1,-1,0,unknown,1
2400,23,admin,single,1,no,5,yes,no,unknown,13,5,93,1,-1,0,unknown,0
2434,57,technician,married,1,no,0,no,no,unknown,13,5,44,1,-1,0,unknown,0
2444,45,management,married,2,no,0,yes,yes,unknown,13,5,147,1,-1,0,unknown,0
2453,44,management,married,2,no,0,no,no,unknown,13,5,27,1,-1,0,unknown,0
2474,23,entrepreneur,single,0,no,4,yes,no,unknown,13,5,395,2,-1,0,unknown,1
2488,54,retired,married,0,no,0,yes,no,unknown,13,5,106,1,-1,0,unknown,0
2489,44,technician,married,2,no,0,yes,yes,unknown,13,5,127,2,-1,0,unknown,0
2513,45,entrepreneur,divorced,2,no,0,yes,no,unknown,13,5,170,1,-1,0,unknown,0
2524,42,self-employed,married,2,no,5,yes,no,unknown,13,5,853,1,-1,0,unknown,0
2534,27,blue-collar,married,1,no,0,yes,no,unknown,13,5,296,1,-1,0,unknown,0
2536,34,technician,single,2,no,2,yes,no,unknown,13,5,60,2,-1,0,unknown,0
2537,44,admin,single,3,no,3,yes,no,unknown,13,5,443,1,-1,0,unknown,0
2566,41,management,married,2,no,0,yes,no,unknown,13,5,161,1,-1,0,unknown,0
2573,46,blue-collar,married,0,no,0,yes,no,unknown,13,5,204,3,-1,0,unknown,0
2588,57,management,divorced,3,no,0,no,no,unknown,13,5,95,1,-1,0,unknown,0
2623,44,services,divorced,1,no,0,yes,yes,unknown,13,5,97,1,-1,0,unknown,0
2637,60,retired,married,2,no,0,yes,no,unknown,13,5,34,4,-1,0,unknown,0
2652,52,entrepreneur,married,3,no,0,yes,no,unknown,13,5,165,2,-1,0,unknown,0
2653,55,management,married,1,no,0,yes,no,unknown,13,5,309,2,-1,0,unknown,0
2666,31,technician,married,2,no,0,yes,yes,unknown,13,5,164,2,-1,0,unknown,0
2695,38,blue-collar,married,0,no,0,no,no,unknown,13,5,209,2,-1,0,unknown,0
2733,57,technician,divorced,1,no,0,yes,no,unknown,14,5,360,2,-1,0,unknown,0
2753,52,technician,married,1,no,0,no,no,unknown,14,5,97,2,-1,0,unknown,0
2754,27,blue-collar,single,1,yes,-2,yes,yes,unknown,14,5,123,5,-1,0,unknown,0
2761,52,technician,married,1,no,0,yes,yes,unknown,14,5,77,2,-1,0,unknown,0
2762,44,entrepreneur,married,1,no,0,no,no,unknown,14,5,211,2,-1,0,unknown,0
2768,44,blue-collar,married,1,no,0,yes,no,unknown,14,5,101,2,-1,0,unknown,0
2788,46,blue-collar,married,0,no,0,yes,no,unknown,14,5,73,1,-1,0,unknown,0
2790,43,technician,divorced,1,no,0,no,no,unknown,14,5,333,1,-1,0,unknown,0
2794,45,technician,married,1,no,0,yes,yes,unknown,14,5,246,2,-1,0,unknown,0
2807,44,services,single,1,no,0,yes,no,unknown,14,5,179,1,-1,0,unknown,0
2825,57,management,married,2,no,0,yes,no,unknown,14,5,124,1,-1,0,unknown,0
2843,42,management,married,2,no,1,no,no,unknown,14,5,253,1,-1,0,unknown,0
2854,31,management,married,2,no,0,no,no,unknown,14,5,298,1,-1,0,unknown,0
2871,44,services,single,1,no,0,yes,no,unknown,14,5,198,1,-1,0,unknown,0
2883,47,blue-collar,married,0,no,2,yes,yes,unknown,14,5,164,1,-1,0,unknown,0
2890,50,management,married,1,no,0,yes,no,unknown,14,5,94,4,-1,0,unknown,0
2911,42,blue-collar,married,1,no,3,yes,no,unknown,14,5,34,1,-1,0,unknown,0
2925,42,technician,married,1,no,0,yes,no,unknown,14,5,833,1,-1,0,unknown,0
2936,49,blue-collar,married,0,no,0,yes,no,unknown,14,5,151,2,-1,0,unknown,0
2959,50,management,married,1,no,0,yes,no,unknown,14,5,214,1,-1,0,unknown,0
2982,57,technician,married,2,no,-1,no,no,unknown,14,5,850,2,-1,0,unknown,1
3116,31,admin,married,1,no,0,yes,no,unknown,14,5,40,2,-1,0,unknown,0
3120,36,blue-collar,married,1,no,0,no,no,unknown,14,5,636,6,-1,0,unknown,0
3130,49,blue-collar,married,0,no,0,no,no,unknown,14,5,370,2,-1,0,unknown,0
3147,46,self-employed,married,1,no,0,yes,yes,unknown,14,5,166,5,-1,0,unknown,0
3159,43,technician,single,1,no,0,yes,no,unknown,14,5,37,3,-1,0,unknown,0
3161,43,services,married,1,no,0,yes,no,unknown,14,5,260,3,-1,0,unknown,0
3166,55,management,married,2,no,0,yes,no,unknown,14,5,159,2,-1,0,unknown,0
3180,32,management,single,2,no,0,yes,no,unknown,15,5,86,4,-1,0,unknown,0
3205,27,services,married,1,no,0,yes,no,unknown,15,5,312,6,-1,0,unknown,0
3208,51,retired,married,1,no,0,no,no,unknown,15,5,70,1,-1,0,unknown,0
3222,48,services,divorced,1,no,0,yes,yes,unknown,15,5,263,1,-1,0,unknown,0
3231,58,services,married,1,no,0,yes,no,unknown,15,5,183,5,-1,0,unknown,0
3295,40,entrepreneur,married,1,no,0,yes,yes,unknown,15,5,435,1,-1,0,unknown,0
3301,21,services,married,1,no,0,yes,yes,unknown,15,5,168,5,-1,0,unknown,0
3303,30,blue-collar,married,1,no,2,yes,no,unknown,15,5,1000,1,-1,0,unknown,0
3342,60,retired,married,1,no,0,yes,no,unknown,15,5,229,1,-1,0,unknown,0
3368,28,student,single,1,no,0,yes,no,unknown,15,5,133,3,-1,0,unknown,0
3372,35,management,married,2,no,6,yes,yes,unknown,15,5,136,1,-1,0,unknown,0
3374,25,management,single,2,no,6,yes,yes,unknown,15,5,225,1,-1,0,unknown,0
3380,47,blue-collar,married,0,no,0,yes,no,unknown,15,5,30,1,-1,0,unknown,0
3382,33,blue-collar,married,0,no,0,yes,no,unknown,15,5,270,1,-1,0,unknown,0
3384,57,admin,married,3,no,0,yes,no,unknown,15,5,215,2,-1,0,unknown,0
3423,45,management,single,2,no,0,yes,no,unknown,15,5,197,4,-1,0,unknown,0
3433,35,technician,divorced,2,no,0,yes,no,unknown,15,5,759,1,-1,0,unknown,0
3456,38,admin,married,1,no,0,yes,no,unknown,15,5,225,1,-1,0,unknown,0
3458,34,technician,married,1,no,4,yes,no,unknown,15,5,644,1,-1,0,unknown,0
3473,32,management,single,1,no,6,yes,no,unknown,15,5,228,1,-1,0,unknown,0
3493,26,technician,single,1,no,2,yes,yes,unknown,15,5,461,1,-1,0,unknown,0
3504,48,technician,married,1,no,0,yes,yes,unknown,15,5,964,2,-1,0,unknown,0
3506,56,housemaid,divorced,1,no,0,no,no,unknown,15,5,103,1,-1,0,unknown,0
3522,44,blue-collar,married,0,no,0,yes,no,unknown,15,5,226,6,-1,0,unknown,0
3552,25,blue-collar,single,1,no,0,yes,no,unknown,15,5,244,2,-1,0,unknown,0
3600,37,services,married,1,no,1,no,no,unknown,15,5,395,2,-1,0,unknown,0
3657,55,technician,married,1,no,0,yes,no,unknown,16,5,248,3,-1,0,unknown,0
3661,31,admin,single,1,no,0,yes,no,unknown,16,5,28,4,-1,0,unknown,0
3670,32,admin,married,1,no,0,no,no,unknown,16,5,137,1,-1,0,unknown,0
3674,58,retired,divorced,0,no,6,no,no,unknown,16,5,228,1,-1,0,unknown,0
3678,40,admin,married,1,no,2,yes,no,unknown,16,5,29,1,-1,0,unknown,0
3690,32,management,married,2,no,0,yes,no,unknown,16,5,387,1,-1,0,unknown,0
3698,33,services,single,1,no,0,yes,no,unknown,16,5,212,1,-1,0,unknown,0
3700,31,blue-collar,single,1,no,0,yes,yes,unknown,16,5,111,1,-1,0,unknown,0
3719,36,admin,single,1,no,0,yes,yes,unknown,16,5,213,1,-1,0,unknown,0
3726,31,services,married,1,no,5,yes,no,unknown,16,5,216,1,-1,0,unknown,0
3728,32,management,single,2,no,0,no,no,unknown,16,5,91,1,-1,0,unknown,0
3735,29,management,married,2,no,1,yes,yes,unknown,16,5,49,1,-1,0,unknown,0
3737,39,management,married,2,no,0,yes,yes,unknown,16,5,107,2,-1,0,unknown,0
3746,41,management,married,2,no,0,no,yes,unknown,16,5,330,4,-1,0,unknown,0
3755,43,admin,single,1,no,6,no,no,unknown,16,5,244,1,-1,0,unknown,0
3757,33,services,divorced,1,no,2,yes,no,unknown,16,5,165,1,-1,0,unknown,0
3764,34,technician,single,1,no,0,yes,yes,unknown,16,5,214,1,-1,0,unknown,0
3765,23,admin,married,2,no,2,yes,no,unknown,16,5,140,1,-1,0,unknown,0
3814,27,blue-collar,single,0,no,0,yes,no,unknown,16,5,576,1,-1,0,unknown,0
3815,31,admin,married,1,no,5,no,no,unknown,16,5,102,1,-1,0,unknown,0
3844,54,technician,divorced,1,no,0,yes,no,unknown,16,5,161,1,-1,0,unknown,0
