,age,education,balance,day,month,campaign,pdays,previous,y,job_admin,PCA1,PCA2,PCA3
711,0.42307692307692313,1.0,0.25,6.0,5.0,2.0,-1.0,0.0,0.0,0.0,-0.9530030937983942,-0.7511540628073609,0.08458079402868734
713,0.730769230769231,0.0,0.75,6.0,5.0,3.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
737,0.7115384615384616,1.0,0.25,6.0,5.0,3.0,-1.0,0.0,0.0,0.0,-1.0506490764309473,0.12013296412984514,0.2787842141869131
755,0.3846153846153847,1.0,0.25,6.0,5.0,3.0,-1.0,0.0,0.0,0.0,-0.8249854289228692,-1.1390471326635931,0.1265508268608384
770,0.46153846153846156,1.0,0.25,7.0,5.0,3.0,-1.0,0.0,0.0,0.0,-1.059607058650397,0.12259846630975407,0.2736632789907404
772,0.46153846153846156,1.0,0.25,7.0,5.0,4.0,-1.0,0.0,0.0,0.0,-0.8187567102331409,-0.6015419363877834,-1.3169580771906548
787,0.5384615384615385,2.0,0.25,7.0,5.0,2.0,-1.0,0.0,0.0,0.0,-0.9530030937983942,-0.7511540628073609,0.08458079402868734
799,0.730769230769231,1.0,0.25,7.0,5.0,4.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
804,0.326923076923077,1.0,0.25,7.0,5.0,1.0,-1.0,0.0,0.0,1.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
805,0.326923076923077,0.0,0.25,7.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.1884977861654498,0.16883871530580596,0.27901084800847853
813,0.21153846153846156,2.0,0.25,7.0,5.0,2.0,-1.0,0.0,0.0,0.0,-1.055958345069106,0.1267546580146267,0.26707343317641685
814,0.7500000000000001,1.0,0.375,7.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.0639468114672848,0.15574171918041502,0.2797032571258866
817,0.25,2.0,0.25,7.0,5.0,3.0,-1.0,0.0,0.0,0.0,-1.0591662513987752,0.1212370902903902,0.23954317520123725
819,0.23076923076923084,2.0,0.625,7.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.055958345069106,0.1267546580146267,0.26707343317641685
839,0.34615384615384615,1.0,0.25,7.0,5.0,2.0,-1.0,0.0,0.0,1.0,-1.0622398689983752,0.3474379028911716,-1.1098981992613939
846,0.3653846153846154,2.0,0.25,7.0,5.0,1.0,-1.0,0.0,0.0,0.0,-0.8251677165811737,-0.7733281218474997,0.04360951485246778
851,0.21153846153846156,2.0,0.625,7.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.0659982885969992,0.14958048670021357,0.2882259708613337
872,0.2692307692307693,1.0,0.25,7.0,5.0,1.0,-1.0,0.0,0.0,0.0,-0.8236715590317196,-0.7987556878227767,0.04511312122144617
902,0.2692307692307693,1.0,0.25,7.0,5.0,2.0,-1.0,0.0,0.0,0.0,-1.0606624089482293,0.14666465626566721,0.23803956883225885
918,0.3846153846153847,3.0,0.875,7.0,5.0,2.0,-1.0,0.0,0.0,0.0,-0.6924459878265253,-1.181131189954772,0.11461341202877684
931,0.28846153846153855,1.0,0.25,7.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.055958345069106,0.1267546580146267,0.26707343317641685
939,0.15384615384615385,1.0,0.25,7.0,5.0,2.0,-1.0,0.0,0.0,0.0,-0.8305035962299437,-0.7704122914129534,0.09379591688154265
971,0.28846153846153855,1.0,0.25,7.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.0574593089298658,0.3129332740011468,-1.1500582811860434
988,0.3846153846153847,1.0,0.25,7.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.0542514026001966,0.3184508417253833,-1.1225280232108636
992,0.3846153846153847,1.0,0.125,7.0,5.0,1.0,-1.0,0.0,0.0,0.0,-1.0542514026001966,0.3184508417253833,-1.1225280232108636
1000,0.5576923076923077,3.0,0.25,7.0,5.0,1.0,-1.0,0.0,0.0,1.0,-1.1867908436965404,0.36053489901656255,-1.1105906083788022
1043,0.42307692307692313,1.0,0.75,7.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.1261802747036375,0.5260349683240949,0.3389581697224916
1044,0.46153846153846156,1.0,0.25,7.0,5.0,2.0,-1.0,0.0,0.0,1.0,0.25551180947031205,0.47843334330867926,0.2994904969152503
1070,0.46153846153846156,1.0,0.25,7.0,5.0,4.0,-1.0,0.0,0.0,0.0,0.2572187519392215,0.6701295270194358,-1.0901109594720304
1077,0.17307692307692313,1.0,0.25,7.0,5.0,4.0,-1.0,0.0,0.0,0.0,0.5228966263763508,-0.45859251399964657,0.07204165165367282
1080,0.3653846153846154,0.0,0.25,7.0,5.0,4.0,-1.0,0.0,0.0,0.0,0.6458304944938751,-0.6790706831464135,-1.3771282244995633
1119,0.40384615384615385,3.0,0.25,7.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.2891088764782046,0.6530964478242769,-1.1231297507538167
1131,0.576923076923077,1.0,0.875,7.0,5.0,2.0,-1.0,0.0,0.0,1.0,0.6509142912518758,-0.8464855838558786,0.11401168448582388
1134,0.5000000000000001,1.0,0.375,7.0,5.0,2.0,-1.0,0.0,0.0,0.0,0.25401565192085795,0.5038609092839563,0.29798689054627203
1135,0.1923076923076924,2.0,0.625,7.0,5.0,5.0,-1.0,0.0,0.0,0.0,0.2587197157999813,0.48395091103291576,0.32702075489043003
1158,0.7884615384615384,3.0,0.25,8.0,5.0,6.0,-1.0,0.0,0.0,0.0,-0.6194437207077754,0.3694255190568966,0.31502724503544033
1167,0.23076923076923084,1.0,0.375,8.0,5.0,5.0,-1.0,0.0,0.0,1.0,-0.49011218594110084,0.3218238940414807,0.27555957222819916
1168,0.3076923076923077,0.0,1.0,8.0,5.0,3.0,-1.0,0.0,0.0,0.0,0.49592135063594645,-0.24434568336949447,-1.2570107554766419
1198,0.1923076923076924,0.0,0.375,8.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.12788721717254692,0.7177311520348516,-1.050643286664789
1217,0.2692307692307693,1.0,0.875,8.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.48622594176885825,-0.40705480591446275,0.1452205248601086
1232,0.46153846153846156,1.0,0.25,8.0,5.0,2.0,-1.0,0.0,0.0,0.0,0.6239390155114715,-0.6322387532257265,-1.2150407226444906
1240,0.3076923076923077,0.0,0.25,8.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.6207311091818022,-0.637756320949963,-1.2425709806196703
1252,0.48076923076923084,1.0,0.25,8.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.25551180947031205,0.47843334330867926,0.2994904969152503
1253,0.3076923076923077,2.0,0.25,8.0,5.0,2.0,-1.0,0.0,0.0,0.0,-0.49694422313932496,0.350167290451304,0.32424236788829564
1260,0.8076923076923078,0.0,0.0,8.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.2587197157999813,0.48395091103291576,0.32702075489043003
1268,0.42307692307692313,1.0,0.375,8.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.5246035688452603,-0.2668963302888899,-1.317559804733608
1270,0.576923076923077,0.0,0.75,8.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.4910065018373677,-0.44155943480448756,0.10506044293545924
1296,0.23076923076923084,0.0,0.625,8.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.28740193400929515,0.4614002641135203,0.266471705633464
1318,0.34615384615384615,1.0,0.25,8.0,5.0,2.0,-1.0,0.0,0.0,0.0,0.272713141522946,0.4550510622096945,0.3358318421427019
1326,0.23076923076923084,1.0,0.125,8.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.49592135063594645,-0.24434568336949447,-1.2570107554766419
1335,0.6538461538461539,2.0,0.25,8.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.6221718385071008,-0.8228432984025871,0.18239817014607096
1337,0.326923076923077,1.0,0.25,8.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.6362254987655268,-0.8528347857597044,0.18337182099506177
1346,0.1923076923076924,1.0,1.0,8.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.26402898443813994,0.47732921714813425,0.3387315359009263
1349,0.7692307692307693,0.0,0.875,8.0,5.0,2.0,-1.0,0.0,0.0,0.0,0.12788721717254692,0.7177311520348516,-1.050643286664789
1355,0.28846153846153855,1.0,0.25,8.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.6171482762845613,-0.656520036227018,-1.3165791752425973
1366,0.6346153846153847,0.0,0.25,8.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.6441235520249656,-0.8707668668571702,0.012473231887717207
1380,0.2692307692307693,2.0,0.625,8.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.28740193400929515,0.4614002641135203,0.266471705633464
1402,0.13461538461538464,1.0,0.25,8.0,5.0,2.0,-1.0,0.0,0.0,0.0,0.25551180947031205,0.47843334330867926,0.2994904969152503
1403,0.46153846153846156,2.0,1.0,8.0,5.0,4.0,-1.0,0.0,0.0,0.0,0.494214408167037,-0.4360418670802511,0.13259070091063885
1404,0.23076923076923084,0.0,0.75,8.0,5.0,2.0,-1.0,0.0,0.0,0.0,0.1261802747036375,0.5260349683240949,0.3389581697224916
1410,0.21153846153846156,1.0,0.5,8.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.494214408167037,-0.4360418670802511,0.13259070091063885
1417,0.2692307692307693,1.0,0.375,8.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.28740193400929515,0.4614002641135203,0.266471705633464
1427,0.8076923076923078,3.0,0.25,8.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.48969263194621815,-0.781850879645304,0.18649814857485147
1463,0.46153846153846156,0.0,0.25,8.0,5.0,2.0,-1.0,0.0,0.0,0.0,0.272713141522946,0.4550510622096945,0.3358318421427019
1477,0.28846153846153855,3.0,0.25,8.0,5.0,2.0,-1.0,0.0,0.0,0.0,0.1261802747036375,0.5260349683240949,0.3389581697224916
1485,0.46153846153846156,1.0,0.25,8.0,5.0,3.0,-1.0,0.0,0.0,0.0,0.48969263194621815,-0.781850879645304,0.18649814857485147
1491,0.1923076923076924,1.0,0.25,8.0,5.0,2.0,-1.0,0.0,0.0,0.0,0.2891088764782046,0.6530964478242769,-1.1231297507538167
1510,0.3846153846153847,2.0,0.25,8.0,5.0,3.0,-1.0,0.0,0.0,0.0,0.2587197157999813,0.48395091103291576,0.32702075489043003
1511,0.17307692307692313,1.0,0.25,8.0,5.0,2.0,-1.0,0.0,0.0,0.0,0.2587197157999813,0.48395091103291576,0.32702075489043003
1525,0.5384615384615385,0.0,0.25,8.0,5.0,3.0,-1.0,0.0,0.0,0.0,0.48969263194621815,-0.781850879645304,0.18649814857485147
1533,0.6153846153846154,2.0,0.25,8.0,5.0,2.0,-1.0,0.0,0.0,0.0,0.2604266582688908,0.6756470947436723,-1.0625807014968507
1540,0.2692307692307693,2.0,0.375,8.0,5.0,4.0,-1.0,0.0,0.0,0.0,-0.2559313634651946,-0.9384603289125023,0.1625672238878002
1555,0.48076923076923084,2.0,0.25,8.0,5.0,2.0,-1.0,0.0,0.0,0.0,0.2586594812645201,0.4850425495668118,0.3348581912937111
1596,0.3846153846153847,0.0,0.25,8.0,5.0,2.0,-1.0,0.0,0.0,0.0,-0.48690427961143157,0.3273414617657172,0.30308983020337876
1643,0.21153846153846156,1.0,0.25,9.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.26402898443813994,0.47732921714813425,0.3387315359009263
1656,0.3653846153846154,2.0,0.25,9.0,5.0,1.0,-1.0,0.0,0.0,0.0,-0.4565151189332083,0.49648699855707845,-1.1470606754408679
1663,0.25,1.0,0.25,9.0,5.0,2.0,-1.0,0.0,0.0,0.0,0.24867977227208793,0.5067767397185026,0.3481732925753469
1665,0.23076923076923084,3.0,0.375,9.0,5.0,1.0,-1.0,0.0,0.0,1.0,0.494214408167037,-0.4360418670802511,0.13259070091063885
1666,0.28846153846153855,1.0,0.25,9.0,5.0,1.0,-1.0,0.0,0.0,0.0,-0.49011218594110084,0.3218238940414807,0.27555957222819916
1674,0.48076923076923084,1.0,0.625,9.0,5.0,3.0,-1.0,0.0,1.0,0.0,-0.2559313634651946,-0.9384603289125023,0.1625672238878002
1675,0.1923076923076924,1.0,1.0,9.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.25551180947031205,0.47843334330867926,0.2994904969152503
1726,0.21153846153846156,1.0,0.25,9.0,5.0,1.0,-1.0,0.0,0.0,1.0,0.2604266582688908,0.6756470947436723,-1.0625807014968507
1739,0.23076923076923084,1.0,0.0,9.0,5.0,2.0,-1.0,0.0,0.0,0.0,-0.6194437207077754,0.3694255190568966,0.31502724503544033
1741,0.21153846153846156,1.0,0.25,9.0,5.0,1.0,-1.0,0.0,0.0,1.0,0.1261802747036375,0.5260349683240949,0.3389581697224916
1745,0.07692307692307698,1.0,0.125,9.0,5.0,1.0,-1.0,0.0,0.0,1.0,0.25551180947031205,0.47843334330867926,0.2994904969152503
1754,0.17307692307692313,1.0,0.75,9.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.36167496707069324,-0.39395780978907186,0.1445281157427004
1767,0.2692307692307693,1.0,0.125,9.0,5.0,1.0,-1.0,0.0,1.0,0.0,0.6221718385071008,-0.8228432984025871,0.18239817014607096
